* Sample of n-grams (top 50,000 words, where the first word in the string starts with "m")
* This sample data is taken from the one billion word Corpus of Contemporary American English (COCA)
(www.english-corpora.org/coca), which is the only corpus of English that is large, up-to-date, and is based on a wide range of genres.
* For complete n-grams data from COCA, please see https://www.ngrams.info
* For an explanation of the columns below, see https://www.wordfrequency.info/files.asp. This is format #2 on that page.
----- Before converting file to Excel, remove the first seven lines, with the first line being the one starting with "rank"

29207	m	)	(	m	z	)	(	z
2116	mean	,	i	think	v	y	p	v
2113	mean	,	that	's	v	,	d	v
2080	men	and	women	,	n	c	n	y
2071	me	,	it	's	p	y	p	v
2061	make	the	most	of	v	a	d	i
2060	me	.	i	'll	p	.	p	v
2034	me	.	i	was	p	y	p	v
2034	most	of	them	are	d	i	p	v
2026	must	have	been	a	v	v	v	a
2008	me	.	"	i	p	y	y	p
1997	more	likely	to	have	r	j	t	v
1994	me	.	i	was	p	.	p	v
1933	me	.	no	,	p	.	u	,
1930	might	as	well	be	v	r	r	v
1929	my	life	.	"	a	n	y	y
1928	make	sure	that	we	v	j	c	p
1928	many	of	them	are	d	i	p	v
1924	me	.	i	know	p	.	p	v
1917	make	it	easier	for	v	p	j	i
1907	more	of	the	same	d	i	a	d
1867	me	,	it	's	p	,	p	v
1857	mean	,	you	know	v	y	p	v
1852	me	.	and	i	p	.	c	p
1849	mean	,	you	know	v	,	p	v
1844	me	.	do	n't	p	.	v	x
1840	many	of	the	same	d	i	a	d
1831	meet	the	needs	of	v	a	n	i
1825	men	and	women	.	n	c	n	y
1823	my	god	.	oh	a	n	.	u
1812	me	?	"	<p>	p	y	y	y
1812	men	and	women	in	n	c	n	i
1800	more	than	that	.	d	c	d	y
1799	me	out	of	here	p	i	i	r
1798	master	's	degree	in	n	g	n	i
1796	more	than	a	dozen	d	c	a	m
1793	meet	you	.	-	v	p	.	-
1785	me	out	of	the	p	i	i	a
1784	may	not	be	a	v	x	v	a
1772	may	have	been	a	v	v	v	a
1771	me	.	-	you	#	#	-	p
1766	me	ask	you	this	p	v	p	d
1756	me	,	but	i	p	,	c	p
1745	mean	,	i	do	v	,	p	v
1742	mean	,	this	is	v	y	d	v
1733	museum	of	natural	history	n	i	j	n
1731	minutes	,	or	until	n	y	c	c
1724	might	have	been	a	v	v	v	a
1724	must	be	able	to	v	v	j	t
1721	me	when	i	was	p	r	p	v
1711	matter	of	fact	,	n	j	n	,
1706	much	for	joining	us	d	i	v	p
1705	more	than	30	years	d	c	m	n
1694	my	guess	is	that	a	n	v	c
1678	me	.	this	is	p	.	d	v
1673	make	sure	you	're	v	j	p	v
1668	man	and	a	woman	n	c	a	n
1649	me	what	to	do	p	d	t	v
1648	me	?	"	"	p	y	y	y
1644	me	,	i	'm	p	y	p	v
1640	my	god	,	i	a	n	,	p
1631	me	.	-	what	#	#	-	d
1614	more	than	half	the	d	c	d	a
1610	me	,	okay	?	p	,	r	?
1609	may	have	been	the	v	v	v	a
1608	me	.	come	on	p	.	v	r
1606	man	.	it	's	n	.	p	v
1598	make	a	difference	in	v	a	n	i
1595	me	,	"	i	p	y	y	p
1590	me	.	yeah	,	p	.	u	,
1587	more	than	two	years	d	c	m	n
1584	me	.	it	was	p	y	p	v
1574	me	.	i	do	p	y	p	v
1570	more	than	that	,	d	c	d	y
1566	me	.	hey	,	p	.	u	,
1555	move	on	to	the	v	r	i	a
1543	me	to	do	?	p	t	v	?
1541	more	than	that	.	d	c	d	.
1540	me	ask	you	about	p	v	p	i
1535	might	as	well	have	v	r	r	v
1526	money	.	"	<p>	n	y	y	y
1517	much	the	same	way	r	a	d	n
1512	me	.	i	have	p	.	p	v
1510	much	for	being	with	d	i	v	i
1505	matter	with	you	?	n	i	p	?
1504	more	to	do	with	d	t	v	i
1495	mean	,	you	're	v	,	p	v
1492	me	.	i	've	p	.	p	v
1488	me	?	-	i	p	?	-	p
1487	more	than	any	other	r	c	d	j
1485	me	.	and	i	p	y	c	p
1479	mean	,	this	is	v	,	d	v
1471	may	be	the	most	v	v	a	r
1467	more	important	than	the	r	j	c	a
1465	mean	,	i	'm	v	y	p	v
1446	make	sure	it	's	v	j	p	v
1444	man	,	i	'm	n	,	p	v
1441	min	.	)	<p>	n	y	y	y
1441	much	a	part	of	r	a	n	i
1417	me	if	i	'm	p	c	p	v
1414	makes	me	want	to	v	p	v	t
1411	me	about	it	.	p	i	p	.
1400	maybe	it	's	time	r	p	v	n
1399	mean	,	he	's	v	,	p	v
1392	more	than	a	dozen	d	c	a	n
1383	my	life	,	"	a	n	y	y
1382	me	and	said	,	p	c	v	y
1381	me	ask	you	a	p	v	p	a
1378	might	be	a	good	v	v	a	j
1376	my	god	!	-	a	n	!	-
1369	me	.	it	was	p	.	p	v
1362	may	i	help	you	v	p	v	p
1362	much	more	likely	to	r	r	j	t
1354	me	?	well	,	p	?	r	,
1337	me	"	#	"	n	"	f	"
1336	museum	of	modern	art	n	i	j	n
1333	me	ask	you	something	p	v	p	p
1332	more	than	any	other	d	c	d	j
1331	make	it	easier	to	v	p	j	t
1328	make	up	for	the	v	r	i	a
1327	many	of	the	people	d	i	a	n
1327	mr	donaldson	:	well	n	n	y	r
1326	maybe	that	's	why	r	d	v	r
1320	many	parts	of	the	d	n	i	a
1319	make	sure	that	they	v	j	c	p
1319	me	,	you	know	p	,	p	v
1317	make	it	clear	that	v	p	j	c
1309	man	.	"	<p>	n	y	y	y
1309	my	god	.	you	a	n	.	p
1308	more	than	a	century	d	c	a	n
1303	make	it	up	to	v	p	i	i
1295	mean	,	i	do	v	y	p	v
1291	me	.	i	have	p	y	p	v
1289	me	?	no	,	p	?	u	,
1289	more	to	the	point	r	i	a	n
1283	my	god	!	oh	a	n	!	u
1282	more	than	half	a	d	c	d	a
1277	massachusetts	institute	of	technology	n	n	i	n
1277	maybe	it	's	the	r	p	v	a
1277	my	best	friend	.	a	j	n	.
1266	my	life	.	<p>	a	n	y	y
1259	me	a	favor	.	p	a	n	.
1252	me	to	tell	you	p	t	v	p
1250	may	not	be	as	v	x	v	r
1250	my	life	,	i	a	n	y	p
1249	mean	,	there	's	v	y	e	v
1246	me	.	he	's	p	.	p	v
1246	me	a	lot	of	p	a	n	i
1243	me	.	i	did	p	.	p	v
1240	me	.	"	he	p	y	y	p
1236	me	,	sir	.	p	,	n	.
1232	me	?	no	.	p	?	u	.
1230	meant	to	be	a	v	t	v	a
1229	me	?	oh	,	p	?	u	,
1221	most	of	the	other	d	i	a	j
1218	maybe	it	's	a	r	p	v	a
1218	me	.	do	you	p	.	v	p
1215	me	.	all	right	p	.	r	r
1212	metropolitan	museum	of	art	j	n	i	n
1211	me	.	i	mean	p	.	p	v
1209	me	,	man	.	p	,	n	.
1206	much	to	do	with	d	t	v	i
1204	made	a	mistake	.	v	a	n	.
1196	my	life	,	and	a	n	y	c
1187	more	than	two	decades	d	c	m	n
1186	most	of	us	are	d	i	p	v
1179	me	,	"	said	p	y	y	v
1179	mean	,	it	was	v	y	p	v
1176	my	god	.	what	a	n	.	d
1175	minutes	past	the	hour	n	i	a	n
1174	my	god	,	you	a	n	,	p
1167	made	the	decision	to	v	a	n	t
1167	maybe	it	's	not	r	p	v	x
1160	men	and	women	of	n	c	n	i
1150	much	more	than	a	d	d	c	a
1146	more	than	an	hour	d	c	a	n
1145	me	?	i	do	p	?	p	v
1145	might	not	have	been	v	x	v	v
1140	men	and	women	are	n	c	n	v
1139	much	as	possible	.	d	c	j	y
1134	most	of	the	world	d	i	a	n
1132	me	,	right	?	p	,	r	?
1131	me	.	what	's	p	.	d	v
1127	make	sure	you	have	v	j	p	v
1121	mean	,	there	's	v	,	e	v
1120	makes	a	lot	of	v	a	n	i
1118	me	all	the	time	p	d	a	n
1117	me	tell	you	,	p	v	p	y
1112	me	.	okay	,	p	.	r	,
1110	my	fault	.	i	a	n	.	p
1109	make	any	sense	.	v	d	n	.
1108	many	people	in	the	d	n	i	a
1106	men	's	and	women	n	g	c	n
1105	me	get	this	straight	p	v	d	j
1101	might	have	been	the	v	v	v	a
1099	me	.	i	ca	p	.	p	v
1099	my	head	.	"	a	n	y	y
1098	many	of	us	have	d	i	p	v
1097	most	important	thing	is	r	j	n	v
1096	me	?	it	's	p	?	p	v
1096	might	not	be	able	v	x	v	j
1089	more	and	more	people	r	c	d	n
1088	me	,	i	'll	p	,	p	v
1087	matter	of	time	before	n	i	n	c
1081	my	father	was	a	a	n	v	a
1078	may	be	the	only	v	v	a	j
1077	me	,	please	.	p	,	r	.
1077	me	to	be	a	p	t	v	a
1076	me	.	i	am	p	.	p	v
1075	mean	,	it	was	v	,	p	v
1074	me	.	i	am	p	y	p	v
1071	more	than	50	percent	d	c	m	n
1070	martin	luther	king	,	n	n	n	y
1069	me	?	"	#	p	?	"	f
1066	might	be	a	little	v	v	r	r
1065	might	not	be	the	v	x	v	a
1065	my	whole	life	.	a	j	n	.
1063	me	,	you	know	p	y	p	v
1060	more	information	,	call	d	n	y	v
1059	museum	of	art	,	n	i	n	y
1057	my	way	to	the	a	n	i	a
1055	more	and	more	of	r	c	d	i
1050	me	.	but	i	p	.	c	p
1049	mean	,	if	you	v	y	c	p
1048	me	.	excuse	me	p	.	v	p
1046	mean	,	if	you	v	,	c	p
1041	more	than	anything	else	r	c	p	r
1040	members	of	the	house	n	i	a	n
1034	me	.	i	think	p	.	p	v
1031	man	.	you	're	n	.	p	v
1030	me	.	but	i	p	y	c	p
1027	me	?	you	're	p	?	p	v
1025	my	job	is	to	a	n	v	t
1023	multiple	line	equation	can	j	n	n	v
1021	maybe	it	's	because	r	p	v	c
1018	middle	of	the	road	n	i	a	n
1016	me	.	i	want	p	.	p	v
1014	more	than	happy	to	d	c	j	t
1011	me	,	too	.	p	y	r	y
1010	mr	.	president	.	#	#	n	.
1009	my	point	is	that	a	n	v	c
1006	may	be	one	of	v	v	m	i
1005	me	.	okay	.	p	.	r	.
1002	make	sense	of	the	v	n	i	a
997	may	be	due	to	v	v	i	i
996	man	.	that	's	n	.	d	v
996	more	than	anything	else	d	c	p	r
993	me	to	go	to	p	t	v	i
992	make	the	best	of	v	a	j	i
992	most	of	us	have	d	i	p	v
991	me	.	are	you	p	.	v	p
985	millions	of	dollars	in	m	i	n	i
983	me	tell	you	what	p	v	p	d
982	more	than	40	years	d	c	m	n
980	me	.	"	she	p	y	y	p
975	maybe	you	do	n't	r	p	v	x
974	me	.	we	're	p	.	p	v
973	means	to	be	a	v	t	v	a
969	me	.	i	've	p	y	p	v
969	me	what	's	going	p	d	v	v
968	me	!	i	'm	p	!	p	v
966	most	of	the	day	d	i	a	n
965	me	.	"	the	p	y	y	a
964	me	.	what	?	p	.	d	?
960	most	of	them	were	d	i	p	v
959	maybe	it	's	just	r	p	v	r
959	me	,	it	was	p	y	p	v
959	most	likely	to	be	r	j	t	v
956	me	know	if	you	p	v	c	p
956	my	brother	and	i	a	n	c	p
953	my	god	!	i	a	n	!	p
952	make	sure	you	do	v	j	p	v
950	me	that	i	was	p	c	p	v
948	more	than	10	years	d	c	m	n
946	more	and	more	,	r	c	r	y
945	me	.	so	,	p	.	r	,
943	many	of	us	are	d	i	p	v
943	me	ask	you	,	p	v	p	y
941	more	than	just	the	d	c	r	a
940	maybe	it	was	the	r	p	v	a
938	me	.	i	got	p	.	p	v
937	man	.	oh	,	n	.	u	,
937	much	of	the	world	d	i	a	n
935	me	a	little	bit	p	a	j	n
934	me	.	i	just	p	.	p	r
934	mean	,	he	's	v	y	p	v
933	me	.	i	had	p	y	p	v
933	mean	,	look	at	v	,	v	i
930	me	give	you	a	p	v	p	a
930	money	to	pay	for	n	t	v	i
929	me	,	so	i	p	y	c	p
929	me	?	-	yeah	p	?	-	u
926	more	than	50	years	d	c	m	n
925	many	,	many	years	d	y	d	n
925	me	a	break	.	p	a	n	.
924	many	of	them	,	d	i	p	y
924	mutant	ninja	turtles	?	n	n	n	?
922	my	point	of	view	a	n	i	n
921	me	.	there	's	p	.	e	v
920	more	information	about	the	d	n	i	a
920	my	sister	and	i	a	n	c	p
917	me	(	m	)	p	(	z	)
916	more	than	a	month	d	c	a	n
915	make	it	look	like	v	p	v	i
910	me	.	you	do	p	.	p	v
908	mean	,	i	know	v	,	p	v
908	mean	,	we	're	v	,	p	v
907	middle	of	the	day	n	i	a	n
906	made	a	point	of	v	a	n	i
905	me	,	mr	.	p	,	#	#
901	m	)	i	'm	z	)	p	v
900	made	it	possible	for	v	p	j	i
898	me	?	yeah	.	p	?	u	.
897	man	in	the	world	n	i	a	n
897	me	,	that	's	p	y	d	v
897	more	.	"	<p>	r	y	y	y
896	me	.	i	think	p	y	p	v
896	me	.	thank	you	p	.	v	p
896	millions	of	dollars	in	n	i	n	i
895	my	mom	and	dad	a	n	c	n
894	make	it	through	the	v	p	i	a
894	means	a	lot	to	v	a	n	i
893	me	?	yeah	,	p	?	u	,
892	most	of	us	,	d	i	p	y
890	more	than	90	percent	d	c	m	n
889	me	.	"	i	p	.	"	p
889	more	than	a	week	d	c	a	n
888	me	a	chance	to	p	a	n	t
887	made	me	want	to	v	p	v	t
887	me	like	that	.	p	i	d	.
886	make	it	happen	.	v	p	v	y
885	many	years	ago	,	d	n	r	y
884	make	you	feel	better	v	p	v	r
882	man	,	it	's	n	,	p	v
882	members	of	congress	,	n	i	n	y
881	more	information	on	the	d	n	i	a
879	make	sure	you	get	v	j	p	v
877	make	a	big	difference	v	a	j	n
875	member	of	the	house	n	i	a	n
875	much	of	it	is	d	i	p	v
875	museum	of	fine	arts	n	i	j	n
874	minutes	before	the	hour	n	i	a	n
873	man	.	hey	,	n	.	u	,
873	me	to	do	it	p	t	v	p
872	moved	to	new	york	v	i	n	n
871	months	of	the	year	n	i	a	n
869	most	of	my	life	d	i	a	n
867	made	the	mistake	of	v	a	n	i
867	many	of	them	have	d	i	p	v
867	me	,	"	he	p	,	"	p
865	much	of	the	time	d	i	a	n
863	my	mind	.	i	a	n	y	p
862	me	,	"	says	p	y	y	v
858	me	.	<p>	the	p	y	y	a
858	might	be	interested	in	v	v	j	i
858	my	friends	and	i	a	n	c	p
855	me	.	i	did	p	y	p	v
855	more	than	a	million	d	c	a	m
854	me	.	no	.	p	.	u	.
853	more	than	a	little	d	c	r	r
851	my	question	is	,	a	n	v	y
849	me	.	"	you	p	y	y	p
848	more	than	once	.	d	c	r	y
845	makes	it	easier	to	v	p	j	t
845	music	)	(	music	n	)	(	n
844	my	head	.	i	a	n	y	p
842	making	a	lot	of	v	a	n	i
841	man	.	he	's	n	.	p	v
840	man	.	come	on	n	.	v	r
838	me	.	-	no	#	#	-	u
838	middle	east	.	<p>	j	n	y	y
834	miles	an	hour	.	n	a	n	y
831	makes	it	clear	that	v	p	j	c
831	my	god	.	it	a	n	.	p
830	mean	,	come	on	v	,	v	r
828	me	.	she	's	p	.	p	v
828	miles	per	hour	.	n	i	n	y
828	myself	.	"	<p>	p	y	y	y
827	me	in	the	eye	p	i	a	n
826	may	not	have	the	v	x	v	a
825	me	feel	like	i	p	n	c	p
825	most	of	his	time	d	i	a	n
824	many	of	them	were	d	i	p	v
823	much	.	"	<p>	d	y	y	y
821	me	.	i	can	p	.	p	v
817	mean	?	well	,	v	?	r	,
816	me	.	what	are	p	.	d	v
814	me	?	-	you	p	?	-	p
813	more	than	a	year	r	c	a	n
812	me	.	yeah	.	p	.	u	.
812	much	as	you	can	d	c	p	v
811	my	god	,	it	a	n	,	p
809	man	.	you	know	n	.	p	v
808	maybe	there	's	a	r	e	v	a
808	might	not	be	a	v	x	v	a
807	made	a	mistake	.	v	a	n	y
807	may	very	well	be	v	r	r	v
807	means	and	standard	deviations	n	c	j	n
805	me	.	look	,	p	.	v	,
805	members	of	the	community	n	i	a	n
805	more	than	a	hundred	d	c	a	m
802	me	back	to	the	p	r	i	a
801	me	.	i	need	p	.	p	v
800	make	a	difference	,	v	a	n	y
800	minutes	cooking	time	:	n	v	n	y
797	me	.	if	you	p	.	c	p
796	min	.	total	time	n	y	j	n
794	make	a	difference	.	v	a	n	.
793	made	up	my	mind	v	r	a	n
793	me	.	look	at	p	.	v	i
792	more	than	three	years	d	c	m	n
791	make	sure	they	're	v	j	p	v
791	mean	,	she	's	v	,	p	v
790	mean	,	i	've	v	,	p	v
788	my	life	,	i	a	n	,	p
786	me	right	now	.	p	r	r	.
784	matter	of	fact	,	j	j	j	y
783	may	not	want	to	v	x	v	t
782	meet	you	.	i	v	p	.	p
782	much	more	than	that	d	d	c	d
781	make	matters	worse	,	v	n	j	y
781	matter	of	time	before	n	i	n	i
779	me	.	that	's	p	y	d	v
776	mr	.	and	mrs	#	#	c	#
774	minutes	or	per	exchange	n	c	i	n
774	more	than	80	percent	d	c	m	n
773	me	.	-	oh	#	#	-	u
772	may	be	in	the	v	v	i	a
769	maybe	you	're	right	r	p	v	j
769	more	than	a	third	d	c	a	m
769	my	goal	is	to	a	n	v	t
768	many	of	the	other	d	i	a	j
765	makes	it	difficult	to	v	p	j	t
765	may	need	to	be	v	v	t	v
765	more	or	less	,	r	c	r	y
765	more	than	a	decade	r	c	a	n
762	make	it	possible	for	v	p	j	i
762	make	it	work	.	v	p	v	y
762	many	of	which	are	d	i	d	v
762	me	that	he	was	p	c	p	v
761	moved	out	of	the	v	i	i	a
760	me	and	my	family	p	c	a	n
760	mean	,	i	was	v	,	p	v
759	me	,	that	's	p	,	d	v
758	my	life	.	-	a	n	.	-
756	make	a	list	of	v	a	n	i
756	may	be	the	best	v	v	a	j
753	many	times	have	you	d	n	v	p
752	make	an	effort	to	v	a	n	t
752	maybe	that	's	what	r	d	v	d
752	more	interested	in	the	r	j	i	a
751	me	.	let	's	p	.	v	v
750	middle	of	the	street	n	i	a	n
749	may	be	that	the	v	v	c	a
749	me	start	with	you	p	n	i	p
749	meaning	of	the	word	n	i	a	n
747	medical	information	found	on	j	n	v	i
747	medical	information	service	in	j	n	n	i
746	me	,	because	i	p	y	c	p
745	make	sure	that	it	v	j	c	p
744	much	in	the	way	r	i	a	n
743	more	to	do	with	r	t	v	i
742	many	of	whom	are	d	i	p	v
741	make	it	easy	for	v	p	j	i
741	man	.	i	do	n	.	p	v
741	me	,	"	she	p	,	"	p
741	much	as	i	do	d	c	p	v
740	me	when	i	'm	p	r	p	v
740	members	of	the	group	n	i	a	n
740	most	of	the	rest	d	i	a	n
738	many	people	do	n't	d	n	v	x
737	may	be	used	to	v	v	v	t
737	me	like	i	'm	p	c	p	v
736	me	?	-	no	p	?	-	u
734	medical	advice	they	may	j	n	p	v
734	my	family	and	i	a	n	c	p
733	mean	,	you	're	v	y	p	v
732	me	out	of	my	p	i	i	a
731	me	in	the	face	p	i	a	n
731	move	out	of	the	v	i	i	a
729	may	be	a	little	v	v	r	r
728	me	.	now	,	p	.	r	,
728	me	to	believe	that	p	t	v	c
728	most	of	his	life	d	i	a	n
727	mathematical	expression	not	reproducible	j	n	x	j
726	me	.	"	"	p	.	"	"
725	me	too	.	i	p	r	.	p
724	meet	me	at	the	v	p	i	a
723	morning	to	you	.	n	i	p	y
722	made	it	very	clear	v	p	r	j
722	most	of	us	do	d	i	p	v
721	many	of	us	,	d	i	p	y
721	my	mother	and	i	a	n	c	p
720	me	a	long	time	p	a	j	n
720	mean	,	there	are	v	y	e	v
719	more	to	it	than	r	i	p	c
718	make	the	case	that	v	a	n	c
718	men	,	women	,	n	y	n	y
716	mother	said	.	"	n	v	y	y
715	my	mother	and	father	a	n	c	n
714	make	the	world	a	v	a	n	a
714	mean	,	we	're	v	y	p	v
710	makes	it	easy	to	v	p	j	t
710	mg	;	cholesterol	:	n	y	n	y
710	much	for	talking	with	d	i	v	i
709	me	too	.	-	p	r	.	-
709	more	than	once	,	d	c	r	y
708	much	as	i	can	d	c	p	v
708	my	mind	.	i	a	n	.	p
707	more	than	five	years	d	c	m	n
702	me	see	if	i	p	v	c	p
702	middle	of	the	room	n	i	a	n
700	minutes	,	or	until	n	,	c	c
699	more	than	three	decades	d	c	m	n
698	me	,	do	n't	p	,	v	x
698	mr	brinkley	:	well	n	n	y	r
697	make	a	phone	call	v	a	n	n
694	make	it	more	difficult	v	p	r	j
693	me	,	but	it	p	y	c	p
693	men	,	women	and	n	y	n	c
693	more	complicated	than	that	r	j	c	d
692	me	,	huh	?	p	,	u	?
692	mind	.	"	<p>	n	y	y	y
690	me	.	what	do	p	.	d	v
688	mean	i	do	n't	v	p	v	x
687	mom	,	i	'm	n	,	p	v
686	more	than	a	few	r	c	a	d
684	medium	heat	.	add	j	n	y	v
684	more	likely	to	get	r	j	t	v
682	me	tell	you	,	p	v	p	,
682	most	of	them	,	d	i	p	y
682	move	on	.	<p>	v	r	y	y
681	more	than	willing	to	d	c	j	t
681	most	of	them	have	d	i	p	v
678	makes	no	sense	.	v	a	n	y
678	me	.	.	.	p	y	y	y
677	many	of	those	who	d	i	d	p
677	maybe	it	was	a	r	p	v	a
676	make	it	difficult	to	v	p	j	t
676	makes	it	possible	to	v	p	j	t
676	many	years	ago	.	d	n	r	y
675	maybe	i	do	n't	r	p	v	x
675	maybe	that	's	the	r	d	v	a
675	me	.	he	was	p	y	p	v
674	mean	?	"	"	v	y	y	y
672	man	,	that	's	n	,	d	v
672	many	of	them	.	d	i	p	y
672	me	that	it	was	p	c	p	v
672	more	than	one	occasion	d	c	m	n
671	medical	examiner	's	office	j	n	g	n
671	my	life	.	and	a	n	.	c
670	me	,	i	do	p	y	p	v
669	me	that	you	're	p	c	p	v
668	me	.	"	<p>	p	.	"	n
668	mean	you	have	to	v	p	v	t
667	me	,	all	right	p	,	r	r
664	m	)	oh	,	z	)	u	,
663	me	,	i	would	p	y	p	v
662	me	the	truth	.	p	a	n	.
662	much	for	joining	us	d	i	v	n
661	many	of	the	most	d	i	a	r
661	maybe	we	should	just	r	p	v	r
660	mean	?	it	means	v	?	p	v
660	mean	by	that	?	v	i	d	y
660	million	a	year	.	m	a	n	y
659	may	be	on	the	v	v	i	a
659	me	a	favor	,	p	a	n	,
659	me	because	i	'm	p	c	p	v
659	minutes	after	the	hour	n	i	a	n
659	much	as	possible	,	d	c	j	y
658	majority	of	the	people	n	i	a	n
658	make	it	harder	for	v	p	j	i
658	me	?	"	he	p	y	y	p
658	me	in	front	of	p	i	i	i
658	member	of	the	family	n	i	a	n
657	money	out	of	the	n	i	i	a
654	make	no	mistake	,	v	a	n	y
654	make	up	your	mind	v	r	a	n
654	me	a	break	.	p	a	n	y
654	most	important	part	of	r	j	n	i
654	most	important	thing	in	r	j	n	i
653	my	god	!	what	a	n	!	d
652	make	it	possible	to	v	p	j	t
651	may	be	related	to	v	v	v	i
651	mm-hmm	.	@!gifford	:	u	y	z	y
651	more	and	more	people	d	c	d	n
650	many	of	you	have	d	i	p	v
649	mean	,	i	think	v	,	p	v
648	make	sure	you	are	v	j	p	v
648	me	,	it	was	p	,	p	v
648	my	life	.	"	a	n	.	"
647	may	seem	like	a	v	v	i	a
647	mean	you	do	n't	v	p	v	x
646	man	.	-	i	n	.	-	p
646	more	than	a	quarter	d	c	a	n
646	must	have	been	the	v	v	v	a
646	my	god	.	that	a	n	.	d
646	my	own	.	i	a	d	y	p
645	money	.	it	's	n	y	p	v
645	much	.	thank	you	d	y	v	p
644	me	?	-	yes	p	?	-	u
644	membership	will	automatically	upgrade	n	v	r	v
643	me	.	i	could	p	y	p	v
643	members	of	the	public	n	i	a	n
642	me	.	yes	,	p	.	u	,
642	mr	.	president	,	#	#	n	,
642	my	opinion	.	<p>	a	n	y	y
641	maybe	i	'm	just	r	p	v	r
641	me	a	while	to	p	a	n	t
640	me	.	i	know	p	y	p	v
640	much	more	than	the	d	d	c	a
639	minutes	.	stir	in	n	y	v	i
639	much	.	thank	you	d	.	v	p
638	me	--	let	me	p	z	v	p
638	mean	,	they	're	v	,	p	v
638	more	information	.	<p>	d	n	y	y
638	my	head	.	i	a	n	.	p
637	make	sure	that	your	v	j	c	a
637	me	,	you	're	p	,	p	v
637	me	.	you	have	p	.	p	v
637	mean	you	ca	n't	v	p	v	x
636	m	)	it	's	z	)	p	v
636	minutes	.	remove	from	n	y	v	i
635	mae	and	freddie	mac	n	c	n	n
635	mean	,	like	,	v	,	r	,
635	move	!	move	!	v	!	v	!
634	more	information	,	contact	d	n	y	v
634	most	of	all	,	d	i	d	,
634	my	heart	goes	out	a	n	v	r
633	man	.	this	is	n	.	d	v
633	my	entire	life	.	a	j	n	.
632	me	out	.	i	p	r	.	p
630	make	sure	that	i	v	j	c	p
630	me	about	it	.	p	i	p	y
630	mean	,	they	're	v	y	p	v
629	matter	how	many	times	r	r	d	n
629	mean	,	i	was	v	y	p	v
629	more	importantly	,	the	r	r	y	a
629	more	than	a	million	d	c	a	n
627	makes	it	easier	for	v	p	j	i
627	me	?	yes	,	p	?	u	,
